tanggal,nama.barang,kuantum
2020-05-29,GULA,100000.0
2020-07-07,GULA,97950.0
2020-07-16,GULA,2050.0
2020-11-12,GULA,14000.0
2020-12-24,GULA,8000.0
2020-06-03,GULA,100000.0
2020-02-26,BERAS,164.0
2020-02-26,BERAS,8500.0
2020-06-02,BERAS,150000.0
2020-06-23,BERAS,300.0
2020-06-26,BERAS,50000.0
2020-06-29,BERAS,75000.0
2020-06-30,BERAS,50000.0
2020-07-21,BERAS,75.0
2020-07-29,BERAS,50000.0
2020-08-06,BERAS,25000.0
2020-08-14,BERAS,74.0
2020-08-24,BERAS,25000.0
2020-08-27,BERAS,50000.0
2020-09-14,BERAS,50000.0
2020-09-17,BERAS,100.0
2020-10-23,BERAS,25.0
2020-10-24,BERAS,50.0
2020-10-26,BERAS,50000.0
2020-09-15,DAGING,3000.0
2020-01-21,DAGING,4000.0
2020-03-17,DAGING,4000.0
2020-12-29,DAGING,3000.0
2020-10-07,MIGOR,4000.0
2020-11-12,MIGOR,1500.0
2020-05-11,TEPUNG,1000.0
2020-07-10,TEPUNG,1000.0
2020-09-17,TEPUNG,2000.0
2020-01-28,BERAS,75000.0
2020-02-10,BERAS,100000.0
2020-03-10,BERAS,24000.0
2020-03-12,BERAS,43100.0
2020-03-17,BERAS,50000.0
2020-03-19,BERAS,17000.0
2020-03-23,BERAS,80.0
2020-04-08,BERAS,50000.0
2020-04-27,BERAS,160.0
2020-05-03,BERAS,75000.0
2020-05-04,BERAS,50000.0
2020-05-05,BERAS,75000.0
2020-05-18,BERAS,150000.0
2020-10-24,BERAS,50000.0
2020-11-19,BERAS,50000.0
2020-11-21,BERAS,50000.0
2020-11-23,BERAS,50000.0
2020-12-03,BERAS,25000.0
2020-12-04,BERAS,50000.0
2021-02-26,BERAS,500.0
2021-03-05,BERAS,50000.0
2021-02-23,DAGING,1000.0
2021-01-06,MIGOR,4000.0
2021-03-22,TEPUNG,1500.0
2021-01-21,BERAS,50000.0
2021-03-24,BERAS,50000.0
2020-01-10,BERAS,256130.0
2020-01-10,TEPUNG,3000.0
2020-01-10,MIGOR,16148.0
2020-01-10,DAGING,1500.0
